2025-11-06 14:52:54,341 | INFO    | wait | Consultando view dbo.vw_PowerBI_DataTable (Tipo Deposito='H0A')...
2025-11-06 14:52:55,640 | INFO    | wait | Registros DB (H0A): 14
2025-11-06 14:52:55,673 | INFO    | wait | Lendo template: \\ca0vm0126\FONTES\Python\Projeto_Inventário\Template_RPA.xlsx
2025-11-06 14:53:05,496 | INFO    | wait | Total registros preparados: 14
2025-11-06 14:53:05,557 | ERROR   | wait | [ERRO][UNKNOWN] Stage=single_record_entries | process_single_record_entries() got an unexpected keyword argument 'records' | Hint: Sem dica.
2025-11-06 14:53:06,964 | INFO    | wait | Screenshot salva: err_unknown_20251106_145305.png
2025-11-06 14:53:06,991 | ERROR   | wait | [ERRO][UNKNOWN] Stage=unexpected | process_single_record_entries() got an unexpected keyword argument 'records' | Hint: Sem dica.
2025-11-06 14:53:07,906 | INFO    | wait | Screenshot salva: err_unknown_20251106_145307.png
2025-11-06 14:53:07,945 | INFO    | wait | Encerrando sessão.
2025-11-06 14:55:09,368 | INFO    | wait | Iniciando browser.
2025-11-06 14:55:10,839 | INFO    | wait | Acessando URL: http://rb3qraa0.server.bosch.com:8001/sap/bc/gui/sap/its/webgui/#
2025-11-06 14:55:22,171 | INFO    | wait | Página estável.
2025-11-06 14:55:22,337 | INFO    | wait | Abrindo transação: LI11N
2025-11-06 14:55:22,372 | INFO    | wait | Preencher 'Enter transaction code' com 'LI11N'
2025-11-06 14:55:23,857 | INFO    | wait | [STEP] Preencher 'Enter transaction code' com 'LI11N'
2025-11-06 14:55:25,141 | INFO    | wait | OK: Status livre
2025-11-06 14:55:25,175 | INFO    | wait | [STEP] Estado estável pós-ação
2025-11-06 14:55:26,066 | INFO    | wait | Consultando view dbo.vw_PowerBI_DataTable (Tipo Deposito='H0A')...
2025-11-06 14:55:27,056 | INFO    | wait | Registros DB (H0A): 14
2025-11-06 14:55:27,086 | INFO    | wait | Lendo template: \\ca0vm0126\FONTES\Python\Projeto_Inventário\Template_RPA.xlsx
2025-11-06 14:55:36,608 | INFO    | wait | Total registros preparados: 14
2025-11-06 14:55:36,682 | INFO    | wait | Contagem (DB) carregada: 14 registros.
2025-11-06 14:55:45,028 | INFO    | wait | Template referência carregado: 126 linhas.
2025-11-06 14:55:45,063 | INFO    | wait | Iniciando composição de lançamentos com referência. Registros contagem=14
2025-11-06 14:55:45,093 | INFO    | wait | [1/14] Sem referência p/ Material=1520250032 Bin=MKT-001. Lançando total direto.
2025-11-06 14:55:45,123 | INFO    | wait | [2/14] Sem referência p/ Material=1510206030 Bin=MKT-002. Lançando total direto.
2025-11-06 14:55:45,154 | INFO    | wait | [3/14] Sem referência p/ Material=1510283009 Bin=MKT-003. Lançando total direto.
2025-11-06 14:55:45,175 | INFO    | wait | [4/14] Sem referência p/ Material=1520221021 Bin=MKT-004. Lançando total direto.
2025-11-06 14:55:45,204 | INFO    | wait | [5/14] Sem referência p/ Material=R907190861 Bin=MKT-005. Lançando total direto.
2025-11-06 14:55:45,237 | INFO    | wait | [6/14] Sem referência p/ Material=R909083352 Bin=MKT-006. Lançando total direto.
2025-11-06 14:55:45,270 | INFO    | wait | [7/14] Sem referência p/ Material=1810210139 Bin=MKT-007. Lançando total direto.
2025-11-06 14:55:45,304 | INFO    | wait | [8/14] Sem referência p/ Material=1520100110 Bin=MKT-008. Lançando total direto.
2025-11-06 14:55:45,337 | INFO    | wait | [9/14] Sem referência p/ Material=1900210306 Bin=MKT-009. Lançando total direto.
2025-11-06 14:55:45,369 | INFO    | wait | [10/14] Sem referência p/ Material=1810210237 Bin=MKT-010. Lançando total direto.
2025-11-06 14:55:45,398 | INFO    | wait | [11/14] Sem referência p/ Material=R913037827 Bin=MKT-011. Lançando total direto.
2025-11-06 14:55:45,421 | INFO    | wait | [12/14] Sem referência p/ Material=6000171947 Bin=MKT-BANCAD. Lançando total direto.
2025-11-06 14:55:45,454 | INFO    | wait | [13/14] Sem referência p/ Material=6000171510 Bin=MKT-PRAT7. Lançando total direto.
2025-11-06 14:55:45,490 | INFO    | wait | [14/14] Sem referência p/ Material=6000171334 Bin=PO-112. Lançando total direto.
2025-11-06 14:55:45,521 | INFO    | wait | Total linhas para lançar: 14
2025-11-06 14:55:46,852 | INFO    | wait | [STEP] Inventory record -> 'nan' (tentativa 1)
2025-11-06 14:55:50,664 | INFO    | wait | Botão 'Single Record Entry' clicado.
2025-11-06 14:55:51,327 | INFO    | wait | OK: Campo 'Storage Bin' visível (SRE)
2025-11-06 14:55:51,353 | INFO    | wait | [Registro 1/14] {'inventory_record': 'nan', 'material_number': '1520250032', 'storage_bin': 'MKT-001', 'plant': 'BR20', 'storage_location': '2050', 'storage_type': '', 'counted_quantity': '0', 'quantity_alt': '0', 'ud': '', 'stock_total': ''}
2025-11-06 14:55:58,612 | ERROR   | wait | [Registro 1/14] Erro inesperado: Locator.wait_for: Timeout 5000ms exceeded.
Call log:
  - waiting for get_by_role("textbox", name="Material Number") to be visible

2025-11-06 14:55:58,952 | INFO    | wait | Estado antes do Cancel final: INVENTORY
2025-11-06 14:55:58,997 | INFO    | wait | Já em INVENTORY.
2025-11-06 14:55:59,651 | INFO    | wait | Click Cancel
2025-11-06 14:56:02,017 | INFO    | wait | Estado após Cancel final: UNKNOWN
2025-11-06 14:56:02,058 | WARNING | wait | Tentando segundo Cancel.
2025-11-06 14:56:07,358 | WARNING | wait | Não foi possível clicar em Cancel (não visível).
2025-11-06 14:56:09,431 | INFO    | wait | Estado após segunda tentativa: UNKNOWN
2025-11-06 14:56:09,453 | WARNING | wait | Não retornou INVENTORY.
2025-11-06 14:56:12,028 | INFO    | wait | Estado antes do Cancel final: UNKNOWN
2025-11-06 14:56:13,762 | INFO    | wait | Encerrando sessão.
2025-11-06 14:56:13,949 | ERROR   | wait | Erro ao fechar sessão: BrowserContext.close: Target page, context or browser has been closed
